invoicedate,TotalSales,lag_1,lag_7,lag_14,rolling_mean_7,rolling_std_7
2009-12-01 07:45:00,505.3,,,,,
2009-12-01 07:46:00,145.79999999999998,505.3,,,,
2009-12-01 09:06:00,630.33,145.79999999999998,,,,
2009-12-01 09:08:00,310.75,630.33,,,,
2009-12-01 09:24:00,2286.24,310.75,,,,
2009-12-01 09:28:00,426.3,2286.24,,,,
2009-12-01 09:43:00,50.4,426.3,,,622.16,760.7070099365895
2009-12-01 09:44:00,344.34000000000003,50.4,505.3,,599.1657142857142,767.2328484420954
2009-12-01 09:46:00,382.37,344.34000000000003,145.79999999999998,,632.9614285714287,748.9261558041748
2009-12-01 09:50:00,285.06,382.37,630.33,,583.6371428571429,760.4100433913771
2009-12-01 09:55:00,141.0,285.06,310.75,,559.3871428571429,773.1628132270348
2009-12-01 09:57:00,308.44,141.0,2286.24,,276.8442857142858,134.67543080274464
2009-12-01 10:06:00,996.1,308.44,426.3,,358.2442857142858,304.8045499363565
2009-12-01 10:10:00,130.0,996.1,50.4,,369.6157142857143,292.6479870570982
2009-12-01 10:18:00,570.24,130.0,344.34000000000003,505.3,401.88714285714286,301.7112837749741
2009-12-01 10:36:00,196.10000000000002,570.24,382.37,145.79999999999998,375.2771428571429,311.76619902924523
2009-12-01 10:46:00,485.79,196.10000000000002,285.06,630.33,403.9528571428572,311.316253923792
2009-12-01 10:49:00,737.63,485.79,141.0,310.75,489.1857142857143,308.9904558319531
2009-12-01 10:52:00,1197.8000000000002,737.63,308.44,2286.24,616.237142857143,393.5567186871666
2009-12-01 10:59:00,251.1,1197.8000000000002,996.1,426.3,509.80857142857155,373.9566378796956
2009-12-01 11:17:00,255.5,251.1,130.0,50.4,527.737142857143,355.2533520702415
2009-12-01 11:21:00,823.02,255.5,570.24,344.34000000000003,563.8485714285715,372.71233118087974
2009-12-01 11:34:00,250.06,823.02,196.10000000000002,382.37,571.5571428571429,364.30188766618124
2009-12-01 11:37:00,696.73,250.06,485.79,285.06,601.6914285714286,364.74897927335235
2009-12-01 11:41:00,733.63,696.73,737.63,141.0,601.12,364.5035694841228
2009-12-01 11:45:00,700.31,733.63,1197.8000000000002,308.44,530.0500000000001,263.19578656708535
2009-12-01 11:46:00,1160.0,700.31,251.1,996.1,659.8928571428571,320.58328599155453
2009-12-01 11:50:00,929.92,1160.0,255.5,130.0,756.2385714285714,277.2019293721077
2009-12-01 11:51:00,212.63,929.92,823.02,570.24,669.0400000000001,341.28942790540697
2009-12-01 11:57:00,145.0,212.63,250.06,196.10000000000002,654.0314285714286,364.3184784145401
2009-12-01 11:58:00,304.53000000000003,145.0,696.73,485.79,598.0028571428572,386.16088985958027
2009-12-01 12:02:00,181.5,304.53000000000003,733.63,737.63,519.1271428571429,409.52241638744226
2009-12-01 12:13:00,341.02,181.5,700.31,1197.8000000000002,467.80000000000007,405.52543171380364
2009-12-01 12:14:00,633.33,341.02,1160.0,251.1,392.5614285714286,287.3263815146217
2009-12-01 12:18:00,3425.1,633.33,929.92,255.5,749.0157142857144,1191.1798804386785
2009-12-01 12:19:00,387.6,3425.1,212.63,823.02,774.0114285714287,1179.8301593369074
2009-12-01 12:20:00,281.82,387.6,145.0,250.06,793.5571428571429,1168.754180722851
2009-12-01 12:22:00,124.95,281.82,304.53000000000003,696.73,767.9028571428572,1183.1595396890239
2009-12-01 12:30:00,1225.95,124.95,181.5,733.63,917.11,1162.5617153510602
2009-12-01 12:33:00,482.3,1225.95,341.02,700.31,937.2928571428572,1152.0725574620476
2009-12-01 12:36:00,278.61,482.3,633.33,1160.0,886.6185714285715,1175.2390941907463
2009-12-01 12:47:00,377.15,278.61,3425.1,929.92,451.197142857143,359.54811684086195
2009-12-01 12:52:00,603.94,377.15,387.6,212.63,482.1028571428573,362.4566023546498
2009-12-01 12:54:00,291.58000000000004,603.94,281.82,145.0,483.497142857143,361.57545536694005
2009-12-01 12:55:00,128.60000000000002,291.58000000000004,124.95,304.53000000000003,484.0185714285716,360.97434920081633
2009-12-01 12:56:00,859.0999999999999,128.60000000000002,1225.95,181.5,431.6114285714287,242.49163479926392
2009-12-01 12:57:00,246.86,859.0999999999999,482.3,341.02,397.97714285714295,250.48554866593955
2009-12-01 13:07:00,229.6,246.86,278.61,633.33,390.9757142857144,255.02198204972845
2009-12-01 13:13:00,322.9,229.6,377.15,3425.1,383.2257142857144,256.33311106560546
